dam_id,dam_num,name,area_m2,intersect_count,intersect_km
25,UT00272,SEVIER BRIDGE,863092738.98704,2,6.026811076813284
120,UT00080,DMAD,581745705.569507,0,
27,UT00249,PIUTE,224263647.02514,4,5.655011269890671
147,UT00270,SETTLEMENT CANYON,154533832.487005,4,25.227607175899845
23,UT00227,NEWCASTLE,151491485.279731,0,
57,UT00309,ENTERPRISE (UPPER),150630761.90603,0,
56,UT00189,ENTERPRISE (LOWER),150225877.278872,0,
212,UT53326,Big Sand Wash,129946428.459622,0,
110,UT00072,CLIFF LAKE (DUCHESNE),100477648.700264,0,
150,UT00323,WHITEROCKS LAKE,93287746.4982007,0,
9,UT00259,ROCKY FORD (BEAVER),71676791.9171717,0,
12,UT00251,PORCUPINE,66509510.5408086,0,
11,UT00079,UTAH POWER & LIGHT - CUTLER,45960121.8369641,4,5.174057280745058
2,UT00069,CHEPETA,40262164.8279618,0,
214,UT00517,Recapture Creek,39707268.2823017,0,
53,UT00276,NORTH UTAH COUNTY - SILVER LAKE FLAT,38739876.2713122,2,16.14907605093985
1,UT00394,BROWNS DRAW,38273850.5903968,0,
121,UT00131,GUNNISON BEND,38260955.1871127,0,
4,UT00240,PARADISE PARK,37742892.4889846,0,
34,UT00130,GUNNISON,37340855.7968552,0,
75,UT00212,MILLSITE,35711465.5265732,0,
118,UT00215,MONA,34211179.5809849,0,
20,UT00100,UTAH POWER & LIGHT - ELECTRIC LAKE,32338228.3638052,0,
145,UT00366,ROCKY FORD (SEVIER),30575712.7349259,4,1.4763921987225443
49,UT00390,COTTONWOOD,29512577.6472427,0,
112,UT00302,TROPIC,28430364.8417761,0,
18,UT00306,TWIN POTS,25775301.2746265,0,
55,UT00010,ASH CREEK,21215287.9268419,2,6.325154715651432
60,UT00514,QUAIL CREEK,20867386.4863908,2,1.2665646361773728
61,UT00710,QUAIL CREEK SOUTH DAM,20762702.848805,2,1.2665704873608616
44,UT00324,WHITNEY,20486496.7852418,0,
16,UT00069,CHEPETA,20221342.6896625,0,
86,UT00194,MANDERFIELD (AKA BEAVER),20138673.459028,2,3.703432184049633
59,UT00164,KOLOB CREEK,19802710.7105293,2,0.6733005225344348
71,UT00221,MOUNTAIN DELL,19037098.6438245,30,52.26916594463087
64,UT00208,MILL MEADOW,18046837.4852023,0,
3,UT00235,OTTER CREEK,17789718.8840292,0,
62,UT00588,SOUTH CREEK - WASHINGTON CO,17658030.1538375,2,0.7097507962539528
47,UT00353,BROUGH,16826813.8792171,0,
129,UT00755,LITTLE DELL,16802505.7395662,9,62.42826057026046
29,UT00332,WOODRUFF CREEK,16556826.0282263,0,
50,UT00624,LAPOINT,16339917.963738,0,
45,UT00343,GRANTSVILLE,16240394.3103091,0,
117,UT00335,YANKEE MEADOW,16234821.2859582,2,1.4200384827526218
42,UT00280,SMITH AND MOREHOUSE,16033265.6586343,0,
28,UT00041,BIRCH CREEK #2,15646288.7713755,0,
211,UT10101,RED BUTTE,15569654.8605154,6,30.399741928916928
77,UT00313,WALL LAKE,15454792.8633538,0,
208,UT00184,LOST LAKE,15373628.1508261,0,
